,resent,pslave1860,cottonsuit,coarea00,rugged,latitude,longitude,water1860,state.abb,sample.size
426,4.736700839,0.248981587,0.43693,0.065091996,25.0734539,34.35118581,-82.96404972,0,GA,8.886128497
427,NA,0.360153748,0.437672222,0.075514989,44.04799271,33.29704435,-85.12835042,0,GA,1.228680295
428,4.562774833,0.42188376,0.446938462,0.081524648,23.90473938,33.45333083,-84.15542983,0,GA,80.19895512
429,4.363926501,0.688937288,0.602353333,0.094375304,22.11844254,32.45897533,-83.66625175,0,GA,39.61936843
430,2.5,0.144791054,0.563309091,0.089292627,14.7583456,31.60229263,-83.27637463,0,GA,1.379374266
431,4.256715168,0.313908534,0.436926923,0.08682976,21.66418839,34.13387964,-83.56639548,0,GA,72.31609563
432,4.329201444,0.647305222,0.577992308,0.093723974,21.46061325,33.31642332,-83.68815094,0,GA,5.522327185
433,NA,0.202050715,0.566065385,0.082740652,NA,31.80560252,-82.63696474,1,GA,1.965843351
434,4.631570701,0.591545161,0.490166667,0.132407783,20.04109383,33.05491641,-82.4180928,0,GA,6.480977759
435,5,0.290853032,0.521375,0.076347435,12.24506855,32.70150568,-82.66013167,1,GA,1.293318184
436,4,0.657626002,0.608113333,0.098814335,19.62926865,33.0251057,-83.56049955,0,GA,9.266634633
437,4.656925415,0.549020843,0.64406,0.04646469,NA,33.07654116,-84.13943213,0,GA,6.416223573
438,3,0.287266272,0.496,0.048947011,NA,31.03784819,-83.06264555,0,GA,7.029963533
439,4.209182074,0.467133467,0.528898276,0.203282337,17.2631855,32.46368409,-82.92229961,1,GA,39.86513618
440,4,0.687465258,0.567045,0.089283092,9.607498169,31.73334497,-84.22545408,0,GA,4.517310817
441,4.206941865,0.727022828,0.515638889,0.133658959,12.03660488,31.82798964,-81.49457366,1,GA,8.485411753
442,5,0.68935236,0.619966667,0.064887833,18.01294327,33.79359797,-82.45114297,0,GA,3.244943273
443,4.152104537,0.464175568,0.588488462,0.124800903,9.781824112,30.83364749,-83.26794731,0,GA,35.47972963
444,4.528463103,0.093385214,0.1807625,0.072454253,141.1387024,34.57213692,-84.00316444,0,GA,15.66514971
445,5,0.666782673,0.572611111,0.066958803,17.79399109,33.48294308,-82.48141404,0,GA,8.665656173
446,4.786234885,0.732600072,0.512613333,0.119339145,6.373497963,31.49523209,-81.4074492,1,GA,5.540159526
